"Resultaat(win/lose)","Aantal zetten","Tijdsduur(ms)","Winrate(%)"
"LOST","55","2417","0"
"WON","50","2214","50"
"LOST","49","2176","33"
"WON","62","2947","50"
"WON","44","2395","60"
"WON","57","2775","67"
"LOST","40","1955","57"
"LOST","33","2064","50"
"WON","45","2037","56"
"LOST","54","2279","50"
